,date,open,close,high,low,sema,lema,dif,dea,macd
0,2016-01-04,4.248,3.849,4.248,3.839,3.849,3.849,0.0,0.0,0.0
1,2016-01-05,3.719,3.859,3.969,3.55,3.8544166666666664,3.8541923076923075,0.0,0.0,0.0
2,2016-01-06,3.869,3.988,3.998,3.849,3.906554272517321,3.902268112370626,0.0,0.0,0.0
3,2016-01-07,3.959,3.629,3.959,3.61,3.8189412356321837,3.8258742898534255,-0.01,-0.0,-0.02
4,2016-01-08,3.749,3.719,3.819,3.52,3.7917875590985624,3.8010897012228355,-0.01,-0.0,-0.02
5,2016-01-11,3.689,3.58,3.809,3.56,3.74031204013553,3.7568071974161006,-0.02,-0.01,-0.02
6,2016-01-12,3.59,3.58,3.649,3.52,3.7045389692683157,3.7253629538998623,-0.02,-0.01,-0.02
7,2016-01-13,3.57,3.5,3.62,3.49,3.661854838962861,3.6890513979099078,-0.03,-0.01,-0.039999999999999994
8,2016-01-14,3.42,3.55,3.55,3.38,3.639725970569621,3.668440928153077,-0.03,-0.02,-0.019999999999999997
9,2016-01-15,3.51,3.36,3.52,3.34,3.58671800786061,3.6258790820272395,-0.04,-0.02,-0.04
10,2016-01-18,3.3,3.35,3.41,3.271,3.5434043200964305,3.5900974776896883,-0.05,-0.03,-0.04000000000000001
11,2016-01-19,3.35,3.5,3.56,3.32,3.5356871744735727,3.5790275829425724,-0.04,-0.03,-0.020000000000000004
12,2016-01-20,3.46,3.43,3.5,3.39,3.51733586598384,3.5615690284814856,-0.04,-0.03,-0.020000000000000004
13,2016-01-21,3.35,3.32,3.46,3.32,3.4837358685873845,3.5344379517264084,-0.05,-0.04,-0.020000000000000004
14,2016-01-22,3.36,3.35,3.39,3.29,3.461332821120825,3.514486283236475,-0.05,-0.04,-0.020000000000000004
15,2016-01-25,3.37,3.37,3.41,3.34,3.4462393523119674,3.499371831083455,-0.05,-0.04,-0.020000000000000004
16,2016-01-26,3.34,3.031,3.35,3.031,3.37839203072817,3.4518279999985584,-0.07,-0.05,-0.04000000000000001
17,2016-01-27,3.041,2.941,3.081,2.752,3.307600961836148,3.4013590942145564,-0.09,-0.06,-0.06
18,2016-01-28,2.902,2.832,2.981,2.812,3.231236911043176,3.3464646389677695,-0.12,-0.07,-0.09999999999999998
19,2016-01-29,2.842,2.951,3.001,2.832,3.1865413787649883,3.3091693176804386,-0.12,-0.08,-0.07999999999999999
20,2016-02-01,2.941,2.922,2.971,2.882,3.1445860290678778,3.273380443384472,-0.13,-0.09,-0.08000000000000002
21,2016-02-02,2.922,2.991,3.021,2.922,3.1203429789716766,3.247748648079575,-0.13,-0.1,-0.06
22,2016-02-03,2.971,3.031,3.071,2.941,3.106296676355708,3.228397375108889,-0.12,-0.1,-0.03999999999999998
23,2016-02-04,3.021,3.041,3.081,3.011,3.096065375333611,3.2119171707591683,-0.12,-0.11,-0.01999999999999999
24,2016-02-05,3.061,3.011,3.061,3.011,3.082774318082276,3.19448969367834,-0.11,-0.11,0.0
25,2016-02-15,2.932,2.971,2.991,2.892,3.065351913808289,3.1753467405229054,-0.11,-0.11,0.0
26,2016-02-16,2.981,3.101,3.141,2.961,3.070897196262922,3.169051492485815,-0.1,-0.11,0.01999999999999999
27,2016-02-17,3.081,3.111,3.131,3.051,3.0771247881004826,3.1641875887525255,-0.09,-0.1,0.020000000000000018
28,2016-02-18,3.151,3.231,3.34,3.151,3.100985707238156,3.1697316909915925,-0.07,-0.1,0.06
29,2016-02-19,3.191,3.201,3.231,3.171,3.116475686136059,3.172303435098608,-0.06,-0.09,0.06
30,2016-02-22,3.231,3.271,3.31,3.231,3.1403833883829573,3.180355181661475,-0.04,-0.08,0.08
31,2016-02-23,3.251,3.261,3.31,3.231,3.1590286996952335,3.186885232537619,-0.03,-0.07,0.08000000000000002
32,2016-02-24,3.251,3.3,3.31,3.241,3.180804454071745,3.195981716058743,-0.02,-0.06,0.07999999999999999
33,2016-02-25,3.29,3.011,3.29,2.981,3.1545911970034792,3.181199602727765,-0.03,-0.05,0.04000000000000001
34,2016-02-26,3.041,3.061,3.081,2.961,3.1401508351119674,3.171650048734303,-0.03,-0.05,0.04000000000000001
35,2016-02-29,3.041,2.922,3.041,2.822,3.1065069283037783,3.1519219912875394,-0.05,-0.05,0.0
36,2016-03-01,2.922,2.981,3.001,2.922,3.0871581499390675,3.1384817616651737,-0.05,-0.05,0.0
37,2016-03-02,2.991,3.131,3.151,2.971,3.093914875214192,3.137896113358325,-0.04,-0.05,0.020000000000000004
38,2016-03-03,3.131,3.171,3.271,3.111,3.1057917135201363,3.140476534645741,-0.03,-0.04,0.020000000000000004
39,2016-03-04,3.161,3.181,3.281,3.111,3.117376735908956,3.1436231127468255,-0.03,-0.04,0.020000000000000004
40,2016-03-07,3.231,3.221,3.29,3.191,3.133335697587179,3.149609898212286,-0.02,-0.04,0.04
41,2016-03-08,3.211,3.181,3.221,3.071,3.140675251975265,3.1520306226637804,-0.01,-0.03,0.039999999999999994
